trialNb	groupNb	indexInGroup	cue	association	assoNb	timeToFirstKeypress	timeToSubmission	list	load	original_pattern	reproduced_pattern	correct	hits	misses	falseAlarms
52	11	2	angst	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0010010000010100	0000000000000000	0	0	4	0
52	11	2	angst	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0010010000010100	0000000000000000	0	0	4	0
53	11	3	splinter	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0010010000010100	0000000000000000	0	0	4	0
53	11	3	splinter	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0010010000010100	0000000000000000	0	0	4	0
53	11	3	splinter	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0010010000010100	0000000000000000	0	0	4	0
54	11	4	scheel	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0010010000010100	0000000000000000	0	0	4	0
54	11	4	scheel	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0010010000010100	0000000000000000	0	0	4	0
54	11	4	scheel	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0010010000010100	0000000000000000	0	0	4	0
55	11	5	water	__UNKNOWN__	1	-1	-1	2	HIGH_LOAD	0010010000010100	0000000000000000	0	0	4	0
55	11	5	water	__UNKNOWN__	2	-1	-1	2	HIGH_LOAD	0010010000010100	0000000000000000	0	0	4	0
55	11	5	water	__UNKNOWN__	3	-1	-1	2	HIGH_LOAD	0010010000010100	0000000000000000	0	0	4	0
56	12	1	gezwel	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
56	12	1	gezwel	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
56	12	1	gezwel	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
57	12	2	normaal	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
57	12	2	normaal	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
57	12	2	normaal	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
58	12	3	boven	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
58	12	3	boven	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
58	12	3	boven	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
59	12	4	groot	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
59	12	4	groot	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
59	12	4	groot	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
