trialNb	groupNb	indexInGroup	cue	association	assoNb	timeToFirstKeypress	timeToSubmission	list	set	load	original_pattern	reproduced_pattern	correct	hits	misses	falseAlarms
63	13	3	menu	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
63	13	3	menu	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
64	13	4	lezen	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
64	13	4	lezen	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
64	13	4	lezen	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
65	13	5	rivier	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
65	13	5	rivier	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
65	13	5	rivier	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
66	14	1	anti	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
66	14	1	anti	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
66	14	1	anti	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
67	14	2	keurig	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
67	14	2	keurig	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
67	14	2	keurig	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
68	14	3	geeuw	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
68	14	3	geeuw	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
68	14	3	geeuw	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
69	14	4	tragedie	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
69	14	4	tragedie	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
69	14	4	tragedie	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
70	14	5	boven	NO_RESPONSE	1	-1	-1	1	1	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
70	14	5	boven	NO_RESPONSE	2	-1	-1	1	1	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
70	14	5	boven	NO_RESPONSE	3	-1	-1	1	1	LOW_LOAD	0000000011110000	0000000000000000	0	0	4	0
71	15	1	blanco	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0001101000000100	0000000000000000	0	0	4	0
71	15	1	blanco	NO_RESPONSE	2	-1	-1	2	1	HIGH_LOAD	0001101000000100	0000000000000000	0	0	4	0
71	15	1	blanco	NO_RESPONSE	3	-1	-1	2	1	HIGH_LOAD	0001101000000100	0000000000000000	0	0	4	0
72	15	2	dek	NO_RESPONSE	1	-1	-1	2	1	HIGH_LOAD	0001101000000100	0000000000000000	0	0	4	0
